epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.6119,1.33451,1.03172,1.65134,0.89394,0.81496,0.91645,0.66278,1.17038,0.94909,1.67599,0.00153167,0.00153167,0.00153167
43,51.7727,1.3371,1.01793,1.59684,0.87841,0.86824,0.93308,0.65204,1.15336,0.94286,1.70987,0.00152837,0.00152837,0.00152837
44,52.9463,1.30175,1.00437,1.58825,0.89894,0.79974,0.91695,0.65567,1.12692,1.16241,1.59402,0.00152507,0.00152507,0.00152507
45,54.1107,1.29679,1.04391,1.59116,0.88487,0.89996,0.96215,0.6903,1.14175,0.86136,1.63932,0.00152177,0.00152177,0.00152177
46,55.2841,1.277,0.97026,1.57316,0.84468,0.81379,0.88333,0.61276,1.14107,0.93028,1.63774,0.00151847,0.00151847,0.00151847
47,56.4451,1.27312,0.93241,1.59148,0.90063,0.87989,0.95145,0.72672,0.95988,0.80587,1.54335,0.00151517,0.00151517,0.00151517
48,57.6371,1.24939,0.91503,1.58513,0.88992,0.90353,0.95533,0.68463,1.04234,0.83269,1.58843,0.00151187,0.00151187,0.00151187
49,58.7961,1.28735,0.8769,1.60082,0.92708,0.95493,0.97189,0.72904,1.02198,0.71427,1.60924,0.00150857,0.00150857,0.00150857
50,59.9649,1.20958,0.81462,1.52337,0.91748,0.93091,0.97338,0.72138,1.02234,0.70386,1.57506,0.00150527,0.00150527,0.00150527
51,61.1265,1.34237,0.88894,1.5755,0.91108,0.92071,0.94012,0.67835,1.13818,0.82711,1.69087,0.00150197,0.00150197,0.00150197
52,62.2953,1.32993,0.86537,1.60375,0.92705,0.89923,0.96224,0.69198,1.11226,0.77772,1.63614,0.00149867,0.00149867,0.00149867
53,63.4501,1.33379,0.87968,1.62516,0.8622,0.84105,0.92948,0.70514,0.99678,0.90258,1.52923,0.00149537,0.00149537,0.00149537
54,64.6076,1.24044,0.89009,1.54504,0.91188,0.88021,0.93784,0.69074,1.09012,0.91763,1.70317,0.00149207,0.00149207,0.00149207
55,65.7715,1.12576,0.84188,1.52052,0.88145,0.9037,0.92458,0.72714,1.00266,0.82043,1.49782,0.00148876,0.00148876,0.00148876
56,66.926,1.1408,0.80622,1.52225,0.86541,0.93091,0.93607,0.68735,0.9669,0.79695,1.48139,0.00148546,0.00148546,0.00148546
57,68.074,1.10688,0.79077,1.48517,0.91994,0.95132,0.96506,0.7343,0.91436,0.8183,1.4329,0.00148216,0.00148216,0.00148216
58,69.256,1.10324,0.77521,1.48081,0.92181,0.95812,0.97522,0.77707,0.85907,0.72843,1.43911,0.00147886,0.00147886,0.00147886
59,70.4375,1.06839,0.78345,1.44174,0.9414,0.95472,0.97289,0.76562,0.9013,0.70642,1.42343,0.00147556,0.00147556,0.00147556
60,71.5935,1.1277,0.77537,1.42293,0.9358,0.91308,0.96803,0.73379,0.97957,0.74784,1.46512,0.00147226,0.00147226,0.00147226
61,72.7631,1.15718,0.75922,1.46999,0.9518,0.9594,0.98069,0.72278,1.02526,0.71692,1.50532,0.00146896,0.00146896,0.00146896
62,73.9286,1.10165,0.78684,1.42147,0.95032,0.89972,0.9563,0.72741,1.00058,0.75631,1.50537,0.00146566,0.00146566,0.00146566
63,75.0866,1.11049,0.74509,1.41309,0.91384,0.96832,0.97661,0.76957,0.9159,0.6841,1.40277,0.00146236,0.00146236,0.00146236
64,76.2425,1.12717,0.77008,1.48658,0.92296,0.9037,0.95921,0.66574,1.24681,0.79898,1.77592,0.00145906,0.00145906,0.00145906
65,77.4058,1.16956,0.76045,1.5004,0.93461,0.95472,0.97041,0.76353,0.86474,0.89965,1.38395,0.00145576,0.00145576,0.00145576
66,78.5559,1.11793,0.78679,1.4638,0.94216,0.96346,0.97939,0.71787,0.9777,0.67704,1.48441,0.00145246,0.00145246,0.00145246
67,79.7089,1.08165,0.71054,1.42716,0.94692,0.96714,0.97844,0.76972,0.93629,0.75647,1.46162,0.00144916,0.00144916,0.00144916
68,80.8561,1.03571,0.70334,1.41146,0.95249,0.92627,0.96987,0.74829,0.91866,0.71233,1.44294,0.00144586,0.00144586,0.00144586
69,82.0098,1.05336,0.69209,1.38548,0.94968,0.97604,0.98113,0.78584,0.86061,0.63291,1.38789,0.00144256,0.00144256,0.00144256
70,83.1968,1.07021,0.71963,1.41821,0.90822,0.95762,0.96031,0.72296,0.98423,0.68169,1.48174,0.00143925,0.00143925,0.00143925
71,84.3579,0.99921,0.68906,1.35296,0.95374,0.91942,0.97946,0.76957,0.86778,0.69813,1.40725,0.00143595,0.00143595,0.00143595
72,85.5215,1.073,0.7221,1.4261,0.93056,0.86121,0.9528,0.70548,1.02223,0.85067,1.50482,0.00143265,0.00143265,0.00143265
73,86.708,1.06744,0.69245,1.41334,0.86331,0.78364,0.84329,0.65547,1.06885,1.03551,1.49199,0.00142935,0.00142935,0.00142935
74,87.8597,1.08632,0.70405,1.4046,0.91079,0.91647,0.95959,0.68222,1.11381,0.81369,1.67754,0.00142605,0.00142605,0.00142605
75,89.0064,1.07452,0.70118,1.42824,0.9456,0.96932,0.9845,0.78735,0.90396,0.65756,1.36524,0.00142275,0.00142275,0.00142275
76,90.198,1.14574,0.72307,1.46874,0.94195,0.97513,0.98421,0.75,0.92477,0.60676,1.43251,0.00141945,0.00141945,0.00141945
77,91.3791,1.03608,0.68662,1.41607,0.95277,0.95472,0.97802,0.74016,1.07325,0.76055,1.70548,0.00141615,0.00141615,0.00141615
78,92.5368,0.98471,0.68803,1.39094,0.93496,0.93991,0.96332,0.72745,1.00079,0.70322,1.48789,0.00141285,0.00141285,0.00141285
79,93.6985,0.99327,0.66608,1.36252,0.96022,0.97044,0.98646,0.77486,0.85329,0.60449,1.36624,0.00140955,0.00140955,0.00140955
80,94.8701,1.01322,0.65851,1.369,0.93128,0.95855,0.97721,0.7671,0.8562,0.64199,1.36426,0.00140625,0.00140625,0.00140625
81,96.0546,0.95748,0.62368,1.35643,0.95378,0.97984,0.98953,0.74384,0.91579,0.65926,1.39556,0.00140295,0.00140295,0.00140295
82,97.2216,1.0227,0.64831,1.4166,0.96472,0.97477,0.98894,0.79676,0.87928,0.6518,1.43635,0.00139965,0.00139965,0.00139965
83,98.3997,0.97475,0.64624,1.3329,0.92263,0.89349,0.9608,0.70661,0.94145,0.7028,1.45885,0.00139635,0.00139635,0.00139635
84,99.5636,0.99863,0.64699,1.36067,0.94909,0.96599,0.98491,0.80311,0.79014,0.61359,1.30907,0.00139305,0.00139305,0.00139305
85,100.739,0.94602,0.62753,1.34329,0.95194,0.99213,0.98514,0.81835,0.7322,0.56124,1.27405,0.00138974,0.00138974,0.00138974
86,101.912,1.01247,0.6501,1.33622,0.96496,0.98729,0.98689,0.81421,0.89041,0.58222,1.3359,0.00138644,0.00138644,0.00138644
87,103.069,0.94444,0.59525,1.33164,0.97961,0.99213,0.98941,0.78801,0.83072,0.56263,1.3218,0.00138314,0.00138314,0.00138314
88,104.246,0.92331,0.61238,1.31288,0.98141,0.97376,0.98932,0.79278,0.77605,0.56692,1.27592,0.00137984,0.00137984,0.00137984
89,105.429,0.87187,0.57676,1.28614,0.9693,0.98533,0.98986,0.82468,0.75623,0.57408,1.27979,0.00137654,0.00137654,0.00137654
90,106.639,0.88819,0.58593,1.29532,0.97177,0.96747,0.98635,0.79075,0.77375,0.62089,1.30366,0.00137324,0.00137324,0.00137324
91,107.813,0.93912,0.62868,1.35093,0.96023,0.93325,0.97797,0.74872,1.02304,0.75972,1.54678,0.00136994,0.00136994,0.00136994
92,109.01,0.96115,0.64266,1.34681,0.94356,0.9204,0.95923,0.69415,1.04505,0.80473,1.48234,0.00136664,0.00136664,0.00136664
93,110.17,0.99202,0.61872,1.38184,0.9416,0.97192,0.97927,0.77657,0.89987,0.65811,1.38538,0.00136334,0.00136334,0.00136334
94,111.33,0.91205,0.62726,1.34132,0.94304,0.9687,0.98376,0.78332,0.82587,0.66251,1.28083,0.00136004,0.00136004,0.00136004
95,112.518,0.90023,0.59873,1.24896,0.95627,0.96544,0.98603,0.80299,0.80188,0.56322,1.29521,0.00135674,0.00135674,0.00135674
96,113.708,0.93338,0.61835,1.29093,0.96358,0.97323,0.99011,0.81309,0.74976,0.60703,1.27049,0.00135344,0.00135344,0.00135344
97,114.887,0.83913,0.59215,1.23974,0.97052,0.94106,0.97908,0.807,0.82118,0.57081,1.29309,0.00135014,0.00135014,0.00135014
98,116.068,0.88389,0.58202,1.25741,0.97002,0.98472,0.98561,0.85076,0.70144,0.49359,1.19782,0.00134684,0.00134684,0.00134684
99,117.275,0.8581,0.58509,1.2887,0.98424,0.98193,0.9903,0.81343,0.74544,0.5255,1.25397,0.00134354,0.00134354,0.00134354
100,118.455,0.89319,0.57643,1.26778,0.98163,0.99096,0.99355,0.81707,0.74415,0.52515,1.25076,0.00134023,0.00134023,0.00134023
101,119.633,0.89986,0.5708,1.28486,0.96922,0.9966,0.99049,0.82116,0.81913,0.52541,1.29066,0.00133693,0.00133693,0.00133693
102,120.817,0.84278,0.5528,1.23603,0.97453,0.9966,0.99139,0.81831,0.80184,0.50329,1.27427,0.00133363,0.00133363,0.00133363
103,121.989,0.86826,0.55276,1.28215,0.97729,0.97853,0.98869,0.82537,0.77325,0.53697,1.26847,0.00133033,0.00133033,0.00133033
104,123.169,0.89089,0.56363,1.31037,0.97852,0.97363,0.99105,0.79598,0.84276,0.54346,1.32625,0.00132703,0.00132703,0.00132703
105,124.331,0.87592,0.55655,1.26988,0.94176,0.96492,0.98525,0.8273,0.70984,0.60415,1.22365,0.00132373,0.00132373,0.00132373
106,125.501,0.86139,0.55646,1.26623,0.98351,0.97595,0.99018,0.82234,0.71086,0.51347,1.236,0.00132043,0.00132043,0.00132043
107,126.704,0.83362,0.54951,1.23234,0.97899,0.99459,0.9907,0.83164,0.8133,0.51161,1.29747,0.00131713,0.00131713,0.00131713
108,127.89,0.82349,0.53501,1.24733,0.96043,0.99322,0.98833,0.82204,0.7618,0.49544,1.23021,0.00131383,0.00131383,0.00131383
109,129.059,0.84379,0.54785,1.27131,0.98084,0.99337,0.99292,0.81395,0.77289,0.528,1.24897,0.00131053,0.00131053,0.00131053
110,130.228,0.85878,0.56221,1.24938,0.97456,0.99554,0.99183,0.82815,0.76404,0.51318,1.27233,0.00130723,0.00130723,0.00130723
111,131.394,0.83193,0.54252,1.22785,0.97823,0.98533,0.98779,0.83282,0.70341,0.4902,1.23243,0.00130393,0.00130393,0.00130393
112,132.575,0.82668,0.52178,1.24269,0.96859,0.99157,0.98961,0.80816,0.82197,0.55022,1.28065,0.00130063,0.00130063,0.00130063
113,133.751,0.86712,0.53821,1.24188,0.97067,0.99213,0.98842,0.79274,0.76106,0.51319,1.26385,0.00129733,0.00129733,0.00129733
114,134.922,0.79479,0.53437,1.2228,0.97015,0.98879,0.98842,0.8241,0.72699,0.51986,1.19,0.00129403,0.00129403,0.00129403
115,136.108,0.81864,0.53908,1.20361,0.9626,0.99577,0.98771,0.84168,0.72024,0.50006,1.21125,0.00129072,0.00129072,0.00129072
116,137.288,0.81533,0.51994,1.22515,0.96661,0.99353,0.98783,0.83251,0.69357,0.52089,1.18127,0.00128742,0.00128742,0.00128742
117,138.439,0.81592,0.52934,1.22673,0.9712,0.99554,0.98846,0.81607,0.77698,0.48352,1.22951,0.00128412,0.00128412,0.00128412
118,139.605,0.83751,0.53148,1.23391,0.96395,0.99685,0.98619,0.85243,0.70239,0.50235,1.19393,0.00128082,0.00128082,0.00128082
